id	m49_code	display_name	full_name	is_ldc	is_lldc	is_sids	development_status	m49_region_id	m49_sub_region_id	m49_intermediate_region_id
MAF	663	Saint-Martin (French part)	Saint Martin (French Part)	0	0	0	developing	americas	latin_america_and_the_caribbean	caribbean
MAR	504	Morocco	Morocco	0	0	0	developing	africa	northern_africa	NULL
MCO	492	Monaco	Monaco	0	0	0	developed	europe	western_europe	NULL
MDA	498	Moldova	Republic of Moldova	0	1	0	developed	europe	eastern_europe	NULL
MDG	450	Madagascar	Madagascar	1	0	0	developing	africa	sub_saharan_africa	eastern_africa
MDV	462	Maldives	Maldives	0	0	1	developing	asia	southern_asia	NULL
MEX	484	Mexico	Mexico	0	0	0	developing	americas	latin_america_and_the_caribbean	central_america
MHL	584	Marshall Islands	Marshall Islands	0	0	1	developing	oceania	micronesia	NULL
MKD	807	Republic of Macedonia	The former Yugoslav Republic of Macedonia	0	1	0	developed	europe	southern_europe	NULL
MLI	466	Mali	Mali	1	1	0	developing	africa	sub_saharan_africa	western_africa
MLT	470	Malta	Malta	0	0	0	developed	europe	southern_europe	NULL
MMR	104	Myanmar	Myanmar	1	0	0	developing	asia	south_eastern_asia	NULL
MNE	499	Montenegro	Montenegro	0	0	0	developed	europe	southern_europe	NULL
MNG	496	Mongolia	Mongolia	0	1	0	developing	asia	eastern_asia	NULL
MNP	580	Northern Mariana Islands	Northern Mariana Islands	0	0	1	developing	oceania	micronesia	NULL
MOZ	508	Mozambique	Mozambique	1	0	0	developing	africa	sub_saharan_africa	eastern_africa
MRT	478	Mauritania	Mauritania	1	0	0	developing	africa	sub_saharan_africa	western_africa
MSR	500	Montserrat	Montserrat	0	0	1	developing	americas	latin_america_and_the_caribbean	caribbean
MTQ	474	Martinique	Martinique	0	0	0	developing	americas	latin_america_and_the_caribbean	caribbean
MUS	480	Mauritius	Mauritius	0	0	1	developing	africa	sub_saharan_africa	eastern_africa
MWI	454	Malawi	Malawi	1	1	0	developing	africa	sub_saharan_africa	eastern_africa
MYS	458	Malaysia	Malaysia	0	0	0	developing	asia	south_eastern_asia	NULL
MYT	175	Mayotte	Mayotte	0	0	0	developing	africa	sub_saharan_africa	eastern_africa
NAM	516	Namibia	Namibia	0	0	0	developing	africa	sub_saharan_africa	southern_africa
NCL	540	New Caledonia	New Caledonia	0	0	1	developing	oceania	melanesia	NULL
NER	562	Niger	Niger	1	1	0	developing	africa	sub_saharan_africa	western_africa
NFK	574	Norfolk Island	Norfolk Island	0	0	0	developed	oceania	australia_and_new_zealand	NULL
NGA	566	Nigeria	Nigeria	0	0	0	developing	africa	sub_saharan_africa	western_africa
NIC	558	Nicaragua	Nicaragua	0	0	0	developing	americas	latin_america_and_the_caribbean	central_america
NIU	570	Niue	Niue	0	0	1	developing	oceania	polynesia	NULL
NLD	528	Netherlands	Netherlands	0	0	0	developed	europe	western_europe	NULL
NOR	578	Norway	Norway	0	0	0	developed	europe	northern_europe	NULL
NPL	524	Nepal	Nepal	1	1	0	developing	asia	southern_asia	NULL
NRU	520	Nauru	Nauru	0	0	1	developing	oceania	micronesia	NULL
NZL	554	New Zealand	New Zealand	0	0	0	developed	oceania	australia_and_new_zealand	NULL
OMN	512	Oman	Oman	0	0	0	developing	asia	western_asia	NULL
PAK	586	Pakistan	Pakistan	0	0	0	developing	asia	southern_asia	NULL
PAN	591	Panama	Panama	0	0	0	developing	americas	latin_america_and_the_caribbean	central_america
PCN	612	Pitcairn	Pitcairn	0	0	0	developing	oceania	polynesia	NULL
PER	604	Peru	Peru	0	0	0	developing	americas	latin_america_and_the_caribbean	south_america
PHL	608	Philippines	Philippines	0	0	0	developing	asia	south_eastern_asia	NULL
PLW	585	Palau	Palau	0	0	1	developing	oceania	micronesia	NULL
PNG	598	Papua New Guinea	Papua New Guinea	0	0	1	developing	oceania	melanesia	NULL
POL	616	Poland	Poland	0	0	0	developed	europe	eastern_europe	NULL
PRI	630	Puerto Rico	Puerto Rico	0	0	1	developing	americas	latin_america_and_the_caribbean	caribbean
PRK	408	North Korea	Democratic People's Republic of Korea	0	0	0	developing	asia	eastern_asia	NULL
PRT	620	Portugal	Portugal	0	0	0	developed	europe	southern_europe	NULL
PRY	600	Paraguay	Paraguay	0	1	0	developing	americas	latin_america_and_the_caribbean	south_america
PSE	275	Palestinian Territory	State of Palestine	0	0	0	developing	asia	western_asia	NULL
PYF	258	French Polynesia	French Polynesia	0	0	1	developing	oceania	polynesia	NULL
QAT	634	Qatar	Qatar	0	0	0	developing	asia	western_asia	NULL
REU	638	Réunion	Réunion	0	0	0	developing	africa	sub_saharan_africa	eastern_africa
ROU	642	Romania	Romania	0	0	0	developed	europe	eastern_europe	NULL
RUS	643	Russia	Russian Federation	0	0	0	developed	europe	eastern_europe	NULL
RWA	646	Rwanda	Rwanda	1	1	0	developing	africa	sub_saharan_africa	eastern_africa
